,Year,AR6_R10,Type,MW,AnnualMtCO2,MWh/yr,GW
0,2023,R10AFRICA,Construction_low,51386.1,255.20000000000002,238575385.07999998,51.3861
1,2023,R10CHINA+,Construction_low,1125082.0,5089.5,5223530709.6,1125.082
2,2023,R10EUROPE,Construction_low,135633.86000000002,706.1,629720885.208,135.63386000000003
3,2023,R10INDIA+,Construction_low,246956.7,1144.3,1146570566.76,246.9567
4,2023,R10LATIN_AM,Construction_low,16494.0,84.3,76578343.2,16.494
5,2023,R10MIDDLE_EAST,Construction_low,4385.0,22.299999999999997,20358678.0,4.385
6,2023,R10NORTH_AM,Construction_low,216313.06,1100.5,1004298274.968,216.31306
7,2023,R10PAC_OECD,Construction_low,78523.98000000001,382.5,364571134.344,78.52398000000001
8,2023,R10REF_ECON,Construction_low,85985.5,488.4,399213479.4,85.9855
9,2023,R10REST_ASIA,Construction_low,124294.6,562.7,577074968.88,124.2946
10,2024,R10AFRICA,Construction_low,53536.1,263.7,248557405.07999998,53.536100000000005
11,2024,R10CHINA+,Construction_low,1152077.0,5191.799999999999,5348863095.6,1152.077
12,2024,R10EUROPE,Construction_low,131324.86,681.6,609715060.008,131.32486
13,2024,R10INDIA+,Construction_low,275198.2,1252.7,1277690202.9600003,275.19820000000004
14,2024,R10LATIN_AM,Construction_low,16094.0,82.1,74721223.2,16.094
15,2024,R10MIDDLE_EAST,Construction_low,5035.0,25.099999999999998,23376498.0,5.035
16,2024,R10NORTH_AM,Construction_low,212188.36,1078.3,985148117.808,212.18836
17,2024,R10PAC_OECD,Construction_low,78961.98000000001,382.09999999999997,366604680.74399996,78.96198000000001
18,2024,R10REF_ECON,Construction_low,82777.5,470.8,384319377.0,82.7775
19,2024,R10REST_ASIA,Construction_low,143304.1,641.3,665332275.48,143.3041
20,2025,R10AFRICA,Construction_low,53343.8,262.6,247664594.64,53.34380000000001
21,2025,R10CHINA+,Construction_low,1149317.0,5171.7,5336048967.6,1149.3169999999998
22,2025,R10EUROPE,Construction_low,119778.45999999999,618.5,556107434.088,119.77846
23,2025,R10INDIA+,Construction_low,275948.2,1251.6999999999998,1281172302.96,275.94820000000004
24,2025,R10LATIN_AM,Construction_low,15440.0,78.69999999999999,71684832.0,15.44
25,2025,R10MIDDLE_EAST,Construction_low,3710.0,18.3,17224788.0,3.71
26,2025,R10NORTH_AM,Construction_low,191529.66,970.4000000000001,889233905.4480001,191.52966
27,2025,R10PAC_OECD,Construction_low,77305.98000000001,373.69999999999993,358916203.944,77.30598000000002
28,2025,R10REF_ECON,Construction_low,78704.5,447.0,365409252.59999996,78.7045
29,2025,R10REST_ASIA,Construction_low,144399.1,644.7,670416141.48,144.3991
30,2026,R10AFRICA,Construction_low,53223.8,261.9,247107458.64,53.223800000000004
31,2026,R10CHINA+,Construction_low,1147092.0,5159.599999999999,5325718737.6,1147.0919999999999
32,2026,R10EUROPE,Construction_low,105870.26,546.1999999999999,491534443.128,105.87026
33,2026,R10INDIA+,Construction_low,275638.2,1247.2,1279733034.96,275.6382
34,2026,R10LATIN_AM,Construction_low,14867.0,75.39999999999999,69024507.6,14.866999999999999
35,2026,R10MIDDLE_EAST,Construction_low,2385.0,11.5,11073078.0,2.3850000000000002
36,2026,R10NORTH_AM,Construction_low,183551.76,928.9,852194111.3280001,183.55176
37,2026,R10PAC_OECD,Construction_low,76080.98000000001,367.09999999999997,353228773.944,76.08098000000001
38,2026,R10REF_ECON,Construction_low,75644.5,429.5,351202284.59999996,75.64450000000001
39,2026,R10REST_ASIA,Construction_low,144539.1,643.6,671066133.48,144.53910000000002
40,2027,R10AFRICA,Construction_low,48063.8,230.79999999999998,223150610.64,48.0638
41,2027,R10CHINA+,Construction_low,1230391.5,5483.999999999999,5712461656.200001,1230.3915000000002
42,2027,R10EUROPE,Construction_low,89705.56,459.4,416484973.968,89.70556
43,2027,R10INDIA+,Construction_low,276508.2,1246.7,1283772270.96,276.5082
44,2027,R10LATIN_AM,Construction_low,13035.0,66.19999999999999,60518898.0,13.034999999999998
45,2027,R10MIDDLE_EAST,Construction_low,2385.0,11.5,11073078.0,2.3850000000000002
46,2027,R10NORTH_AM,Construction_low,164068.06,827.4,761735188.968,164.06806
47,2027,R10PAC_OECD,Construction_low,71487.98000000001,343.69999999999993,331904393.544,71.48798000000001
48,2027,R10REF_ECON,Construction_low,74569.5,422.6,346211274.59999996,74.5695
49,2027,R10REST_ASIA,Construction_low,148029.1,657.1999999999999,687269505.48,148.0291
50,2028,R10AFRICA,Construction_low,45462.8,215.59999999999997,211074687.84,45.4628
51,2028,R10CHINA+,Construction_low,1224454.0,5449.9,5684895031.200001,1224.4540000000002
52,2028,R10EUROPE,Construction_low,69664.66,341.09999999999997,323439083.44799995,69.66466
53,2028,R10INDIA+,Construction_low,267836.7,1196.9,1243512230.76,267.8367
54,2028,R10LATIN_AM,Construction_low,12041.0,60.4,55903954.8,12.040999999999999
55,2028,R10MIDDLE_EAST,Construction_low,710.0,3.1999999999999997,3296388.0,0.71
56,2028,R10NORTH_AM,Construction_low,99900.0,496.0,463815720.0,99.9
57,2028,R10PAC_OECD,Construction_low,66627.98000000001,316.5,309340385.544,66.62798000000001
58,2028,R10REF_ECON,Construction_low,19720.4,104.69999999999999,91557873.12,19.7204
59,2028,R10REST_ASIA,Construction_low,146399.1,648.4,679701741.48,146.3991
